DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
12573.85	6417.8	1.9724	5766.27	0.744	17664.69	119.08
12484.62	6413.3	1.9789	5751.92	0.7441	17670.07	119.33
12552.96	6416.4	1.9793	5748.94	0.741	17540.42	118.95
12612.13	6462.4	1.9828	5789.34	0.74	17363.95	119.3
12720.46	6516.2	1.9901	5861.97	0.7381	17628.3	119.81
12773.04	6497.8	2.0051	5858.14	0.737	17527.45	119.27
12803.84	6449.4	2.0054	5835.95	0.7362	17667.33	118.25
12808.63	6440.6	2.0026	5829.04	0.7349	17371.97	118.27
12961.98	6486.8	2.0035	5938.9	0.7357	17452.62	118.89
12919.4	6479.7	2.0003	5917.32	0.7371	17455.37	118.73
12953.94	6429.5	2.0028	5886.03	0.7341	17451.77	118.41
13089.89	6461.9	2.0057	5947.33	0.7321	17236.16	118.48
13105.5	6469.4	1.9919	5944.44	0.735	17429.17	119.39
13120.94	6418.7	2.002	5930.77	0.7322	17400.41	119.46
13211.88	6484.5	1.9902	5990.13	0.7355	17394.92	120.11
13309.07	6550.4	1.9902	6034.25	0.7392	17656.84	119.87
13362.87	6549.6	1.9969	6051.63	0.7379	17748.12	119.71
13215.13	6524.1	1.9828	6012.76	0.7401	17736.96	120.43
13326.22	6565.7	1.9825	6050.63	0.7395	17553.72	120.1
13346.78	6555.5	1.9805	6026.42	0.7386	17677.94	120.36
13383.84	6568.6	1.984	6049.76	0.7355	17512.98	120.27
13487.53	6559.5	1.9828	6017.91	0.7366	17529	120.69
13476.72	6579.3	1.9752	6027	0.7412	17498.6	121.27
13556.53	6640.9	1.9743	6101.14	0.741	17399.58	121.21
13542.88	6636.8	1.9693	6089.91	0.743	17556.87	121.6
13539.95	6606.6	1.9747	6089.72	0.7428	17680.05	121.42
13525.65	6616.4	1.989	6120.2	0.7413	17705.12	121.44
13441.13	6565.4	1.9855	6048.31	0.7443	17696.97	121.43
13507.28	6570.5	1.9848	6057.49	0.7432	17481.21	121.64
13521.34	6606.5	1.9816	6056.39	0.7417	17672.56	121.74
13633.08	6602.1	1.9749	6042.15	0.7446	17588.26	121.52
13627.64	6621.4	1.9782	6104	0.7432	17875.75	121.81
13668.11	6676.7	1.979	6168.15	0.7452	17958.88	122.03
13676.32	6664.1	1.9912	6125.81	0.7416	17973.42	121.75
13595.46	6632.8	1.9929	6078.54	0.7395	18053.81	121.65
13465.67	6522.7	1.9917	5977.87	0.7411	18040.93	121.05
13266.73	6505.1	1.9806	5890.49	0.7429	18053.38	121.45
13424.39	6505.1	1.9675	5883.29	0.7486	17779.09	121.56
13424.96	6567.5	1.9672	5940.09	0.7493	17834.48	121.73
13295.01	6520.4	1.9735	5898.16	0.751	17760.91	121.76
